Lower Manhattan,Midtown,Upper East Side,Upper West Side,JFK Airport,LaGuardia Airport
Alphabet City,Clinton East,Upper East Side North,Upper West Side North,JFK Airport,LaGuardia Airport
Battery Park,Clinton West,Upper East Side South,Upper West Side South,,
Battery Park City,Midtown Center,Yorkville East,Lincoln Square East,,
Chinatown,Midtown East,Yorkville West,Lincoln Square West,,
East Village,Midtown North,Lenox Hill East,Manhattan Valley,,
Financial District North,Midtown South,Lenox Hill West,Bloomingdale,,
Financial District South,Murray Hill,East Harlem South,,,
Greenwich Village North,Penn Station/Madison Sq West,,,,
Greenwich Village South,Union Sq,,,,
Hudson Sq,UN/Turtle Bay South,,,,
Little Italy/NoLiTa,Times Sq/Theatre District,,,,
Lower East Side,Sutton Place/Turtle Bay North,,,,
Meatpacking/West Village West,Stuy Town/Peter Cooper Village,,,,
Seaport,West Chelsea/Hudson Yards,,,,
SoHo,East Chelsea,,,,
TriBeCa/Civic Center,Garment District,,,,
Two Bridges/Seward Park,Gramercy,,,,
West Village,Flatiron,,,,
World Trade Center,Kips Bay,,,,
,,,,,
40.796089,40.75606155,40.77426529,40.79461288,40.6429479,40.7757145
-73.963349,-73.98695374,-73.95728302,-73.97167969,-73.7793734,-73.873364
